site,sample_type,sample_id,date_sampled,date,time_sampled_edt,time_sampled_est,date_processed,DIC (mg/L),NPOC (mg/L),TN (mg/L),TA (mmol/L)
GCW,SW,20240208_GCReW_Flume_0900,20240208,2/8/2024,9:00,9:00,20240208,10,3.596,0.2855,0.86635
GCW,SW,20240208_GCReW_Flume_1000,20240208,2/8/2024,10:00,10:00,20240208,9.717,3.624,0.2462,0.8459
GCW,SW,20240208_GCReW_Flume_1100,20240208,2/8/2024,11:00,11:00,20240208,6.938,3.077,0.4761,NA
GCW,SW,20240208_GCReW_Flume_1200,20240208,2/8/2024,12:00,12:00,20240208,9.502,3.406,0.4947,0.9276
GCW,SW,20240208_GCReW_Flume_1300,20240208,2/8/2024,13:00,13:00,20240208,9.457,3.353,0.5275,0.96525
GCW,SW,20240208_GCReW_Flume_1400,20240208,2/8/2024,14:00,14:00,20240208,9.902,3.227,0.5434,1.04235
GCW,SW,20240208_GCReW_Flume_1500,20240208,2/8/2024,15:00,15:00,20240208,10.02,3.088,0.637,1.0649
GCW,SW,20240208_GCReW_Flume_1600,20240208,2/8/2024,16:00,16:00,20240208,9.893,3.241,0.6197,1.04185
GCW,SW,20240208_GCReW_Flume_1700,20240208,2/8/2024,17:00,17:00,20240208,9.954,3.16,0.5741,1.0158
GCW,SW,20240208_GCReW_Flume_1800,20240208,2/8/2024,18:00,18:00,20240208,9.828,3.406,0.5348,0.9762
GCW,SW,20240208_GCReW_Flume_1900,20240208,2/8/2024,19:00,19:00,20240208,9.957,3.654,0.5042,0.9437
GCW,SW,20240208_GCReW_Flume_2000,20240208,2/8/2024,20:00,20:00,20240208,9.66,3.769,0.4557,0.89395
GCW,SW,20240208_GCReW_Flume_2100,20240208,2/8/2024,21:00,21:00,20240208,9.828,3.73,0.3587,0.8681
GCW,SW,20240208_GCReW_Flume_1600_isco,20240208,2/8/2024,16:00,16:00,20240208,10.61,3.632,0.5482,1.05405
GCW,SW,20240208_GCReW_Flume_1700_isco,20240208,2/8/2024,17:00,17:00,20240208,10.37,3.398,0.5702,1.03105
GCW,SW,20240208_GCReW_Flume_1800_isco,20240208,2/8/2024,18:00,18:00,20240208,10.24,3.458,0.4415,1.00695
GCW,SW,20240208_GCReW_Flume_1900_isco,20240208,2/8/2024,19:00,19:00,20240208,10.18,3.642,0.3861,0.96485
GCW,SW,20240208_GCReW_Flume_2000_isco,20240208,2/8/2024,20:00,20:00,20240208,9.948,3.654,0.296,0.89195
GCW,SW,20240208_GCReW_Flume_2100_isco,20240208,2/8/2024,21:00,21:00,20240208,9.821,3.67,0.291,0.86455
GCW,SW,20240208_GCReW_Flume_2200_isco,20240208,2/8/2024,22:00,22:00,20240208,9.896,3.628,0.2617,0.8622
GCW,SW,20240208_GCReW_Flume_2300_isco,20240208,2/8/2024,23:00,23:00,20240208,9.898,3.637,0.2701,0.8574
GCW,SW,20240208_GCReW_Flume_2400_isco,20240208,2/8/2024,0:00,0:00,20240208,10.43,3.45,0.4552,0.9836
GCW,SW,20240209_GCReW_Flume_0000_isco,20240209,2/9/2024,1:00,1:00,20240209,10.53,3.327,0.5977,1.0201
GCW,SW,20240209_GCReW_Flume_0100_isco,20240209,2/9/2024,2:00,2:00,20240209,10.82,3.386,0.5869,1.0552
GCW,SW,20240209_GCReW_Flume_0200_isco,20240209,2/9/2024,3:00,3:00,20240209,10.73,3.196,0.6095,1.0527
GCW,SW,20240209_GCReW_Flume_0300_isco,20240209,2/9/2024,4:00,4:00,20240209,10.86,3.32,0.586,1.05085
GCW,SW,20240209_GCReW_Flume_0400_isco,20240209,2/9/2024,5:00,5:00,20240209,11,3.456,0.6074,1.0436
GCW,SW,20240209_GCReW_Flume_0500_isco,20240209,2/9/2024,6:00,6:00,20240209,NA,3.623,0.4884,1.0072
GCW,SW,20240209_GCReW_Flume_0600_isco,20240209,2/9/2024,7:00,7:00,20240209,NA,3.605,0.4213,0.98755
GCW,SW,20240209_GCReW_Flume_0700_isco,20240209,2/9/2024,8:00,8:00,20240209,NA,3.622,0.3559,0.97305
GCW,SW,20240209_GCReW_Flume_0800_isco,20240209,2/9/2024,9:00,9:00,20240209,NA,NA,NA,NA
GCW,SW,20240209_GCReW_Flume_0900_isco,20240209,2/9/2024,10:00,10:00,20240209,NA,3.935,0.3286,NA
GCW,SW,20240209_GCReW_Flume_1000_isco,20240209,2/9/2024,11:00,11:00,20240209,NA,4.066,0.4917,0.8766
GCW,SW,20240209_GCReW_Flume_1100_isco,20240209,2/9/2024,12:00,12:00,20240209,NA,3.716,0.6109,0.9617
