"TOA5","GCREW_MARSH_OUTLET","CR1000X","27811","CR1000X.Std.05.01","CPU:GCREW_MARSH_OUTLET_v4-6_multiple instruments.CR1X","51805","SontekTable"
"TIMESTAMP","RECORD","SONTEK_ID","Sample_number","yyyy","MM","dd","hh","Minute","ss","Flowrate","Stage","Mean_velocity","Total_volume","Water_depth","Index_velocity","Cross_area","Water_temperature","System_status","Velocity_XZxc","Velocity_XZzc","Velocity_XZxL","Velocity_XZxR","Batt_Vol_Sontek","Pitch_angle","Roll_angle","Perc_submergance","IceScore"
"TS","RN","","","","","","","","","m","m","m/s","m3","m","m/s","m2","Celsius","unitless","m/s","m/s","m/s","m/s","volts","degrees","degrees","percent","integer"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-05-14 23:57:00",196699,"",7999,2026,5,14,23,51,5,0.0056,0.825,0.004,-416646.9,0.775,0.002,1.526,16.58,0,0.002,-0.001,0.023,-0.007,13.16,-1,0.1,100,0
"2026-05-15 00:00:00",196700,"",7999,2026,5,14,23,51,5,0.0056,0.825,0.004,-416646.9,0.775,0.002,1.526,16.58,0,0.002,-0.001,0.023,-0.007,13.16,-1,0.1,100,0
"2026-05-15 00:03:00",196701,"",7999,2026,5,14,23,57,5,0.0144,0.831,0.009,-416642.7,0.781,0.008,1.538,16.59,0,0.008,-0.001,0.007,0.024,13.16,-1,0.1,100,0
"2026-05-15 00:06:00",196702,"",7999,2026,5,14,23,57,5,0.0144,0.831,0.009,-416642.7,0.781,0.008,1.538,16.59,0,0.008,-0.001,0.007,0.024,13.16,-1,0.1,100,0
"2026-05-15 00:09:00",196703,"",7999,2026,5,15,0,3,5,0.0209,0.84,0.014,-416635.9,0.79,0.013,1.554,16.63,0,0.013,-0.002,0.002,0.031,13.16,-1,0.1,100,0
"2026-05-15 00:12:00",196704,"",7999,2026,5,15,0,3,5,0.0209,0.84,0.014,-416635.9,0.79,0.013,1.554,16.63,0,0.013,-0.002,0.002,0.031,13.16,-1,0.1,100,0
"2026-05-15 00:15:00",196705,"",7999,2026,5,15,0,9,5,0.0096,0.847,0.006,-416631.1,0.797,0.005,1.568,16.56,0,0.005,0.001,0.007,-0.002,13.16,-1,0.1,100,0
"2026-05-15 00:18:00",196706,"",7999,2026,5,15,0,9,5,0.0096,0.847,0.006,-416631.1,0.797,0.005,1.568,16.56,0,0.005,0.001,0.007,-0.002,13.16,-1,0.1,100,0
"2026-05-15 00:21:00",196707,"",7999,2026,5,15,0,15,5,0.0018,0.852,0.001,-416629.5,0.802,0,1.576,16.51,0,0,0,0,-0.021,13.16,-1,0.1,100,0
"2026-05-15 00:24:00",196708,"",7999,2026,5,15,0,15,5,0.0018,0.852,0.001,-416629.5,0.802,0,1.576,16.51,0,0,0,0,-0.021,13.16,-1,0.1,100,0
"2026-05-15 00:27:00",196709,"",7999,2026,5,15,0,21,5,0.0094,0.858,0.006,-416627,0.808,0.005,1.588,16.5,0,0.005,-0.002,0.009,0.014,13.16,-1,0.1,100,0
"2026-05-15 00:30:00",196710,"",7999,2026,5,15,0,21,5,0.0094,0.858,0.006,-416627,0.808,0.005,1.588,16.5,0,0.005,-0.002,0.009,0.014,13.16,-1,0.1,100,0
"2026-05-15 00:33:00",196711,"",7999,2026,5,15,0,27,5,0.0292,0.868,0.018,-416618.8,0.818,0.018,1.606,16.45,0,0.018,-0.001,0.021,0.024,13.16,-1,0.1,100,0
"2026-05-15 00:36:00",196712,"",7999,2026,5,15,0,27,5,0.0292,0.868,0.018,-416618.8,0.818,0.018,1.606,16.45,0,0.018,-0.001,0.021,0.024,13.16,-1,0.1,100,0
"2026-05-15 00:39:00",196713,"",7999,2026,5,15,0,33,5,0.0288,0.875,0.018,-416608.4,0.825,0.017,1.62,16.38,0,0.017,-0.002,0.014,0.014,13.16,-1,0.1,100,0
"2026-05-15 00:42:00",196714,"",7999,2026,5,15,0,33,5,0.0288,0.875,0.018,-416608.4,0.825,0.017,1.62,16.38,0,0.017,-0.002,0.014,0.014,13.16,-1,0.1,100,0
"2026-05-15 00:45:00",196715,"",7999,2026,5,15,0,39,5,0.0275,0.881,0.017,-416598.3,0.831,0.016,1.631,16.36,0,0.016,0,0.012,0.017,13.16,-1,0.1,100,0
"2026-05-15 00:48:00",196716,"",7999,2026,5,15,0,39,5,0.0275,0.881,0.017,-416598.3,0.831,0.016,1.631,16.36,0,0.016,0,0.012,0.017,13.16,-1,0.1,100,0
"2026-05-15 00:51:00",196717,"",7999,2026,5,15,0,45,5,0.051,0.892,0.031,-416582.8,0.842,0.031,1.65,16.34,0,0.031,-0.002,0.019,0.021,13.16,-1,0.1,100,0
"2026-05-15 00:54:00",196718,"",7999,2026,5,15,0,45,5,0.051,0.892,0.031,-416582.8,0.842,0.031,1.65,16.34,0,0.031,-0.002,0.019,0.021,13.16,-1,0.1,100,0
"2026-05-15 00:57:00",196719,"",7999,2026,5,15,0,51,5,0.0447,0.903,0.027,-416565.9,0.853,0.025,1.672,16.46,0,0.025,-0.002,0.019,0,13.16,-1,0.1,100,0
"2026-05-15 01:00:00",196720,"",7999,2026,5,15,0,51,5,0.0447,0.903,0.027,-416565.9,0.853,0.025,1.672,16.46,0,0.025,-0.002,0.019,0,13.16,-1,0.1,100,0
"2026-05-15 01:03:00",196721,"",7999,2026,5,15,0,57,5,0.0628,0.916,0.037,-416545.4,0.866,0.036,1.694,16.57,0,0.036,-0.002,0.023,0.033,13.16,-1,0.1,100,0
"2026-05-15 01:06:00",196722,"",7999,2026,5,15,0,57,5,0.0628,0.916,0.037,-416545.4,0.866,0.036,1.694,16.57,0,0.036,-0.002,0.023,0.033,13.16,-1,0.1,100,0
